Robot_Position X	Robot_Position Y	weight
657	502	0.120964
664	496	0.147788
658	502	0.080935
660	501	0.201746
660	501	0.101651
660	501	0.122908
660	501	0.122908
664	496	0.091576
664	496	0.091576
660	501	0.116653
660	501	0.098724
660	501	0.098724
664	496	0.129016
664	496	0.129016
664	496	0.112745
664	496	0.112745
662	498	0.107158
668	496	0.113531
668	496	0.124723
660	501	0.116562
660	501	0.125627
660	501	0.128621
660	501	0.129724
668	492	0.133408
668	492	0.133408
668	492	0.104169
668	492	0.104169
668	492	0.115113
668	492	0.115113
668	492	0.119238
668	492	0.119238
673	491	0.120395
673	491	0.131863
673	491	0.125251
673	491	0.125251
673	491	0.101714
673	491	0.101714
673	491	0.101714
673	491	0.141108
673	491	0.141108
673	491	0.130921
673	491	0.130921
673	491	0.117780
673	491	0.117780
673	491	0.142017
673	491	0.136981
673	491	0.136981
673	491	0.147961
675	493	0.150612
675	493	0.139338
677	493	0.106184
677	493	0.106184
677	493	0.128525
677	493	0.095606
677	493	0.095606
677	493	0.095606
677	493	0.108346
677	493	0.108346
677	493	0.118154
677	493	0.118154
677	493	0.147510
677	493	0.124618
677	493	0.124618
677	493	0.095112
680	495	0.096679
677	493	0.109251
678	491	0.109251
658	502	0.047448
658	502	0.104158
677	493	0.089899
677	493	0.102022
680	489	0.047732
680	489	0.047732
677	493	0.038309
658	502	0.035850
660	502	0.043559
659	499	0.043102
660	500	0.050420
658	502	0.054923
658	502	0.056111
658	502	0.046827
658	502	0.046827
658	502	0.052271
658	502	0.114285
658	502	0.039946
658	502	0.039946
660	501	0.114824
660	501	0.114824
663	506	0.053616
662	506	0.053616
663	506	0.137290
663	506	0.086962
663	506	0.086962
663	506	0.037380
663	506	0.051653
663	506	0.051653
663	506	0.103002
663	506	0.157341
663	506	0.157341
663	506	0.107519
663	506	0.098268
666	507	0.100437
663	506	0.044073
663	506	0.111703
668	508	0.117391
668	508	0.117083
668	508	0.117083
668	508	0.119379
668	508	0.112674
668	508	0.112674
668	508	0.121960
668	508	0.068520
668	508	0.117834
668	508	0.117834
668	508	0.123398
668	508	0.107900
668	506	0.118436
668	506	0.118436
668	506	0.131829
668	506	0.131829
668	506	0.053968
668	506	0.112188
668	506	0.112188
668	506	0.128512
668	506	0.047869
668	506	0.124595
668	506	0.124595
668	506	0.111695
668	506	0.043790
668	506	0.043388
670	507	0.115755
671	506	0.115772
670	507	0.130542
671	506	0.052610
670	507	0.052714
671	506	0.043956
671	506	0.043956
671	506	0.046588
671	506	0.046588
671	506	0.043278
671	506	0.043278
671	506	0.045751
671	506	0.045751
671	506	0.100741
671	506	0.112685
671	506	0.112685
671	506	0.039656
671	506	0.134143
674	506	0.136269
675	505	0.147781
676	506	0.119290
676	506	0.092144
676	506	0.092144
676	506	0.115303
676	506	0.087886
676	506	0.087886
676	506	0.117462
676	506	0.117462
676	506	0.097601
676	506	0.097601
676	506	0.151194
676	506	0.151194
676	506	0.128743
676	506	0.155587
678	509	0.156844
678	509	0.137145
676	507	0.138337
676	508	0.138337
676	507	0.110816
676	507	0.110816
676	508	0.110816
676	507	0.126423
676	507	0.141841
676	507	0.141841
676	507	0.141841
676	507	0.115806
676	507	0.115806
676	507	0.146391
676	507	0.146391
676	507	0.117666
676	507	0.141747
674	505	0.144454
673	503	0.167881
672	503	0.165109
681	511	0.107571
680	512	0.134559
680	512	0.133113
680	512	0.127364
680	512	0.125202
680	512	0.168464
680	512	0.168464
680	512	0.135394
682	513	0.147596
684	513	0.144154
685	512	0.144166
682	513	0.117195
684	513	0.115680
682	513	0.140609
682	513	0.140609
682	513	0.138504
682	513	0.138504
682	513	0.125111
682	513	0.125111
682	513	0.137679
682	513	0.137679
682	513	0.188895
682	513	0.188895
682	513	0.114037
682	513	0.114037
679	511	0.143894
679	512	0.143888
679	510	0.143894
679	510	0.133119
679	510	0.133119
679	510	0.147282
679	510	0.147282
679	510	0.147282
679	510	0.167585
679	510	0.167585
679	510	0.128056
679	510	0.128056
679	510	0.128056
679	510	0.128056
679	510	0.133082
679	510	0.133082
679	510	0.133082
679	510	0.126629
679	510	0.124011
682	507	0.126661
679	510	0.124011
679	510	0.112231
680	512	0.109399
680	512	0.084994
680	512	0.084987
679	510	0.113112
680	512	0.121519
680	512	0.121519
680	512	0.086313
680	512	0.086313
680	512	0.086313
680	512	0.047845
680	512	0.047845
677	512	0.137679
675	512	0.137698
675	513	0.137698
675	513	0.137698
675	513	0.137698
675	513	0.137698
680	512	0.125194
680	512	0.114551
680	512	0.135113
680	512	0.135113
680	512	0.135113
680	512	0.130536
683	510	0.130573
684	509	0.130586
685	513	0.140809
685	510	0.140809
685	510	0.135277
685	512	0.135277
685	512	0.135277
685	513	0.135277
685	511	0.135277
685	512	0.135277
685	512	0.135277
685	511	0.135277
685	511	0.135277
685	512	0.135277
683	512	0.129817
680	512	0.114688
683	515	0.123850
685	510	0.123888
685	512	0.123888
685	512	0.123888
685	512	0.123888
685	512	0.123888
660	501	0.112418
656	497	0.137093
689	512	0.141529
689	512	0.134085
683	516	0.134098
683	516	0.129610
683	515	0.129610
683	515	0.129610
683	515	0.129610
683	514	0.129610
683	514	0.129610
665	501	0.108058
660	501	0.140789
660	501	0.116660
660	501	0.116660
660	501	0.100892
660	501	0.100892
660	501	0.100892
660	501	0.113822
664	502	0.118940
664	502	0.119307
660	501	0.121615
665	502	0.153440
683	522	0.093389
660	501	0.090101
660	505	0.116016
660	501	0.104130
661	503	0.108926
662	503	0.133306
657	507	0.111017
678	505	0.127434
678	505	0.123785
678	507	0.134464
678	505	0.121651
