Robot_Position X	Robot_Position Y	weight
733	223	0.209901
739	229	0.315856
739	234	0.326831
739	236	0.328395
739	237	0.326781
739	237	0.354639
739	238	0.362132
739	238	0.362132
739	238	0.351845
739	238	0.332501
739	238	0.314830
739	238	0.328450
739	238	0.328450
739	238	0.327437
739	238	0.322506
739	238	0.322506
739	238	0.330481
739	238	0.330453
739	238	0.330453
739	238	0.389125
739	237	0.316360
739	237	0.328574
739	237	0.328574
739	237	0.418022
739	237	0.395348
739	237	0.337728
739	237	0.405045
739	237	0.415917
739	237	0.407810
739	239	0.407449
739	238	0.420648
739	239	0.420648
739	239	0.420648
739	239	0.420648
739	240	0.420648
739	241	0.420648
739	242	0.333200
739	242	0.316306
739	242	0.323625
739	242	0.332044
739	242	0.332044
740	243	0.346873
740	243	0.356776
740	240	0.356776
739	238	0.327842
739	238	0.336368
739	238	0.323875
740	243	0.328663
739	238	0.314115
739	238	0.318850
739	236	0.314018
739	237	0.307267
737	235	0.331692
738	238	0.313504
738	232	0.349164
738	232	0.345788
738	232	0.310486
738	232	0.311357
738	232	0.308711
738	232	0.350764
738	232	0.318212
738	232	0.328878
738	232	0.334226
738	232	0.327814
741	234	0.330399
738	232	0.323117
738	232	0.315788
738	232	0.316143
738	232	0.313281
738	232	0.311870
738	232	0.310814
738	232	0.317913
738	232	0.317279
738	232	0.331581
738	232	0.319973
738	232	0.351279
738	232	0.327330
736	229	0.353079
736	229	0.324480
737	229	0.332123
737	229	0.339735
737	229	0.341042
737	229	0.329893
737	229	0.316653
737	229	0.329195
737	229	0.332749
737	229	0.332841
737	229	0.328434
737	229	0.321916
740	231	0.354860
740	233	0.346098
740	230	0.363354
740	230	0.363354
740	228	0.332387
740	230	0.332387
740	228	0.332387
740	228	0.328004
740	228	0.341759
740	228	0.341759
740	228	0.343568
740	228	0.330270
740	228	0.350053
739	232	0.438523
740	231	0.327280
740	233	0.341449
739	232	0.309622
739	232	0.324632
739	232	0.324632
739	232	0.413898
739	232	0.326478
739	232	0.343040
739	232	0.309871
739	232	0.309485
739	232	0.309647
740	234	0.329975
740	234	0.330860
739	237	0.321741
738	232	0.299853
738	232	0.304321
739	237	0.320948
739	237	0.320948
739	237	0.351672
739	237	0.335971
739	237	0.351294
739	237	0.351294
739	237	0.336328
739	237	0.336945
739	237	0.336945
739	237	0.341106
738	237	0.353141
738	234	0.354762
738	235	0.339699
738	234	0.325490
738	234	0.318731
738	234	0.353571
738	234	0.353571
738	234	0.320780
738	234	0.348591
738	234	0.348591
738	234	0.337215
738	234	0.315149
738	234	0.324882
738	234	0.341571
739	234	0.354749
739	234	0.341235
739	234	0.345163
739	234	0.345163
739	234	0.344794
739	234	0.344794
739	234	0.349847
739	234	0.349847
739	234	0.331475
739	234	0.335620
739	234	0.335620
739	234	0.333965
739	234	0.338158
739	234	0.338158
739	235	0.323974
738	234	0.304520
739	234	0.352546
738	234	0.351531
739	234	0.345937
739	234	0.354830
739	234	0.354830
739	234	0.333578
739	234	0.346558
739	234	0.335077
739	234	0.316001
739	234	0.313832
739	234	0.313832
739	234	0.323481
739	234	0.365267
739	234	0.365267
739	234	0.332997
739	234	0.340882
739	234	0.340882
739	234	0.328713
739	234	0.339970
739	234	0.339970
739	234	0.323037
739	234	0.322001
739	234	0.322001
739	234	0.308599
739	234	0.348139
739	234	0.348139
739	234	0.356167
739	234	0.326041
739	234	0.332209
738	233	0.349027
739	234	0.324559
739	234	0.325961
739	232	0.332912
739	233	0.332912
739	234	0.328684
739	234	0.311806
739	234	0.335019
739	234	0.349494
739	234	0.321041
739	234	0.321041
739	234	0.307741
739	234	0.315805
739	234	0.333445
739	234	0.328523
739	234	0.328585
739	234	0.331785
739	232	0.333409
739	234	0.340801
739	234	0.345404
739	236	0.312885
739	234	0.334006
739	234	0.331716
739	234	0.309916
739	234	0.363145
739	234	0.330920
739	234	0.331640
739	234	0.331640
739	234	0.318690
739	234	0.312365
739	234	0.312365
739	234	0.315941
739	234	0.298957
739	234	0.315595
739	232	0.319188
739	234	0.318499
739	234	0.306286
739	234	0.304946
739	234	0.301436
739	234	0.314397
735	237	0.294762
739	234	0.307969
739	234	0.307969
735	237	0.292240
739	234	0.303452
739	234	0.308251
739	237	0.314041
739	237	0.307020
739	237	0.287541
739	237	0.287541
739	237	0.320987
740	243	0.286154
740	243	0.313454
740	243	0.313454
740	243	0.326092
740	243	0.326092
740	243	0.325912
740	243	0.326318
740	243	0.326318
740	243	0.301742
740	243	0.284006
740	243	0.325296
740	243	0.325296
740	243	0.314395
740	243	0.306139
740	243	0.306139
740	243	0.329990
742	240	0.310756
740	243	0.305089
739	237	0.318181
740	248	0.303958
740	248	0.295921
740	247	0.295921
740	248	0.301930
740	248	0.317246
740	248	0.317246
740	248	0.336109
740	248	0.324921
740	248	0.324921
740	248	0.313249
740	248	0.322220
740	248	0.322220
740	248	0.319094
740	248	0.335204
740	248	0.335204
740	248	0.317551
740	248	0.317298
740	248	0.338021
740	248	0.313214
740	248	0.313214
740	248	0.312197
740	248	0.298665
740	248	0.306088
740	248	0.318512
740	248	0.318512
740	248	0.319906
740	248	0.319884
740	248	0.319884
740	246	0.320768
740	246	0.315652
740	247	0.329548
739	248	0.338369
739	248	0.331625
739	248	0.328997
739	248	0.328997
739	248	0.323623
739	248	0.316862
739	248	0.314090
739	248	0.323564
740	246	0.334934
740	246	0.339067
740	246	0.339067
740	246	0.314398
740	245	0.342103
740	245	0.342103
740	245	0.350535
740	245	0.350535
740	245	0.350535
740	243	0.350535
740	241	0.315931
739	248	0.337253
739	248	0.328031
739	248	0.352301
739	248	0.323979
739	248	0.347216
739	248	0.328945
739	248	0.328945
739	248	0.319368
738	248	0.335258
739	248	0.341848
739	248	0.352669
739	248	0.333609
739	248	0.333609
739	248	0.355922
739	248	0.355922
739	248	0.328112
739	248	0.314416
739	248	0.314416
739	248	0.303844
739	248	0.325432
739	248	0.325432
739	248	0.316446
739	248	0.316446
740	251	0.342662
739	246	0.340456
739	247	0.340456
739	248	0.345482
740	251	0.350343
740	251	0.324788
740	251	0.324788
740	251	0.339160
740	251	0.323566
740	251	0.331318
