Robot_Position X	Robot_Position Y	weight
680	522	0.000000
681	520	0.205922
679	518	0.399142
675	518	0.406416
675	505	0.394499
675	504	0.423744
675	504	0.396004
673	501	0.198351
675	503	0.395177
675	500	0.217170
674	499	0.406099
674	499	0.432331
674	499	0.426235
674	499	0.390259
674	499	0.407601
674	499	0.377192
674	499	0.377192
674	499	0.395266
672	501	0.380331
674	499	0.380754
674	499	0.382059
675	504	0.174797
675	504	0.192322
675	502	0.400722
672	496	0.394797
672	496	0.394797
672	496	0.386270
672	496	0.377265
672	496	0.377265
672	496	0.404604
672	496	0.399040
672	496	0.399040
672	496	0.394201
672	496	0.396832
672	496	0.396832
672	496	0.383907
672	496	0.396605
672	496	0.396605
672	496	0.394295
672	496	0.384565
672	496	0.384565
672	496	0.408973
669	494	0.406705
667	493	0.408291
667	491	0.391604
667	491	0.404985
667	491	0.402745
667	491	0.389417
667	491	0.394598
667	491	0.394598
667	491	0.243663
667	491	0.243663
667	491	0.392145
667	491	0.392145
664	488	0.395065
667	491	0.426713
667	491	0.426713
665	486	0.432426
665	486	0.379074
665	486	0.376928
665	486	0.403859
665	486	0.403859
665	486	0.407304
665	486	0.407304
665	486	0.442647
665	486	0.442647
664	489	0.448085
661	482	0.451042
660	485	0.412508
661	482	0.421994
660	485	0.423508
660	485	0.424938
660	485	0.424938
660	485	0.219736
660	485	0.419753
660	485	0.430390
660	485	0.412327
660	485	0.426878
658	485	0.426915
662	482	0.404926
663	484	0.399801
662	482	0.412636
662	482	0.384532
662	482	0.384532
662	482	0.434235
662	482	0.406749
662	482	0.415760
662	482	0.415760
662	482	0.389422
662	482	0.424479
662	482	0.424479
662	482	0.412624
662	482	0.403058
662	482	0.403058
662	482	0.433946
662	482	0.433946
662	482	0.425286
662	482	0.421837
662	482	0.421837
662	482	0.421601
662	482	0.409115
662	482	0.427827
663	483	0.429390
663	487	0.409751
661	481	0.429563
659	478	0.421506
659	478	0.412847
664	477	0.428880
664	477	0.423509
664	477	0.406454
