Robot_Position X	Robot_Position Y	weight
712	546	0.134911
719	554	0.358433
722	559	0.363787
725	559	0.368074
728	560	0.365484
727	561	0.363075
729	558	0.365150
728	556	0.380272
729	555	0.386560
729	555	0.386560
729	558	0.358666
730	556	0.375817
729	554	0.320503
729	554	0.353972
729	554	0.375114
731	557	0.376672
729	554	0.363558
729	556	0.369542
729	555	0.369542
729	556	0.369542
729	555	0.369542
729	555	0.369542
729	555	0.369542
729	555	0.369542
729	555	0.362643
729	556	0.377483
729	556	0.370125
726	557	0.386711
726	557	0.358994
726	557	0.364654
726	557	0.379579
726	557	0.373245
726	557	0.372231
726	557	0.372231
726	557	0.371160
726	557	0.390609
726	557	0.390609
726	557	0.374328
728	559	0.350047
726	557	0.395138
725	559	0.299592
726	557	0.373437
726	557	0.371961
726	557	0.372472
729	557	0.356981
729	557	0.356981
727	561	0.379146
728	556	0.377822
727	558	0.361312
729	555	0.362603
727	556	0.354359
727	555	0.354359
727	554	0.354359
727	553	0.367382
727	553	0.385059
727	553	0.385059
727	553	0.382899
727	553	0.397446
727	553	0.397446
727	553	0.369216
725	551	0.372104
724	556	0.373852
724	556	0.368477
729	557	0.142606
729	557	0.358266
729	556	0.358266
729	556	0.358266
729	558	0.367044
729	558	0.369943
729	558	0.351370
729	558	0.351370
729	558	0.359612
729	558	0.338064
729	558	0.338064
728	559	0.367197
728	562	0.367219
726	563	0.372082
726	563	0.335434
726	563	0.372019
728	563	0.377222
728	562	0.343902
728	563	0.361610
728	563	0.361610
728	563	0.358391
728	563	0.358391
728	563	0.364745
728	563	0.364745
725	564	0.362895
725	558	0.346387
726	561	0.357405
726	561	0.345468
729	558	0.345710
729	557	0.341366
726	557	0.353413
729	557	0.358406
729	558	0.341534
729	558	0.363135
729	556	0.363128
728	562	0.331596
726	557	0.349371
726	559	0.349371
726	557	0.364138
726	557	0.361445
726	557	0.337882
726	557	0.358430
726	557	0.358430
726	557	0.340785
726	557	0.348039
724	555	0.348179
726	557	0.368540
725	560	0.343499
726	557	0.336321
726	557	0.349596
725	554	0.332544
725	554	0.325763
725	554	0.323734
725	554	0.330962
725	554	0.330962
725	554	0.305518
722	551	0.314455
726	557	0.326626
725	560	0.324821
726	557	0.308937
726	557	0.311043
726	557	0.312653
726	557	0.312653
726	557	0.320887
726	557	0.343375
726	557	0.346509
723	553	0.323845
724	559	0.323226
722	561	0.317285
722	561	0.310377
726	557	0.326411
726	557	0.332448
726	557	0.332564
726	557	0.319773
726	557	0.316260
726	557	0.315447
724	555	0.320582
726	558	0.321122
724	561	0.316330
726	557	0.325194
724	555	0.318777
731	557	0.329695
730	557	0.354994
726	557	0.342460
722	561	0.317235
727	554	0.326952
722	561	0.333963
719	559	0.343859
719	559	0.319092
719	559	0.311569
719	559	0.329803
719	559	0.316595
719	559	0.321626
719	559	0.328761
720	558	0.350035
720	558	0.327199
720	558	0.328512
720	558	0.336995
720	558	0.353927
720	558	0.352206
720	558	0.322862
720	558	0.322862
720	558	0.332876
720	558	0.346918
723	557	0.351718
725	560	0.358278
722	563	0.360662
722	556	0.360662
720	558	0.348868
729	558	0.343505
729	555	0.338899
728	554	0.367934
728	554	0.372096
728	554	0.352206
728	554	0.351551
728	554	0.338927
728	554	0.338927
728	554	0.344245
728	554	0.351423
728	554	0.351423
728	554	0.348791
728	554	0.340835
728	554	0.340835
728	554	0.348813
729	553	0.348791
728	554	0.355074
728	554	0.355074
728	554	0.350279
725	552	0.348728
725	552	0.348702
725	552	0.348702
725	552	0.352160
725	552	0.364058
725	552	0.341759
725	552	0.341759
725	552	0.325631
725	552	0.367669
725	552	0.367669
725	552	0.365635
724	552	0.365635
723	552	0.365635
723	552	0.348438
723	552	0.357383
723	552	0.357383
723	552	0.344678
723	552	0.349727
723	552	0.349727
723	552	0.360744
723	552	0.342243
723	552	0.362686
723	552	0.351249
723	552	0.351249
723	553	0.308481
728	554	0.339119
728	554	0.339119
725	552	0.355544
723	553	0.355784
723	553	0.355784
723	553	0.347430
723	553	0.364377
723	553	0.364377
723	553	0.371124
723	553	0.355232
723	553	0.355232
723	553	0.349340
723	553	0.367381
723	553	0.367381
