X_dis	Y_dis	Dis
865,210,890,-1,-1,0
865,210,890,-1,-1,0
865,210,890,-1,-1,0
3,13,13,861,196,0.916117
2,14,14,866,195,0.971979
4,10,10,868,199,0.972496
4,10,10,868,199,0.972595
4,10,10,868,199,0.945091
4,13,13,868,196,0.792014
2,14,14,866,195,0.958901
0,18,18,864,191,0.858508
1,18,18,863,191,0.789405
6,16,17,858,193,0.815709
12,18,21,852,191,0.855077
17,20,26,847,189,0.839636
28,18,33,836,191,0.510172
36,24,43,828,185,0.90745
51,26,57,813,183,0.94539
64,30,70,800,179,0.986069
86,32,91,778,177,0.88438
85,32,90,779,177,0.636747
99,32,104,765,177,0.972595
134,45,141,730,164,0.657218
141,38,146,723,171,0.864388
156,25,157,708,184,0.864805
168,18,168,696,191,0.648649
183,27,184,681,182,0.599033
191,17,191,673,192,0.805939
185,5,185,679,214,0.699669
193,13,193,671,222,0.75646
196,19,196,668,228,0.772602
193,29,195,671,238,0.93392
190,39,193,674,248,0.845588
186,42,190,678,251,0.780165
184,51,190,680,260,0.845551
171,74,186,693,283,0.854374
171,93,194,693,302,0.945608
170,105,199,694,314,0.828781
168,114,203,696,323,0.946807
171,126,212,693,335,0.973646
177,123,215,687,332,0.922738
179,136,224,685,345,0.922738
180,149,233,684,358,0.922738
181,162,242,683,371,0.922738
182,175,252,682,384,0.922738
183,188,262,681,397,0.922738
184,201,272,680,410,0.922738
185,214,282,679,423,0.922738
202,235,309,662,444,0.907817
202,248,319,662,457,0.907817
202,261,330,662,470,0.907817
200,294,355,664,503,0.920956
197,293,353,667,502,0.933785
201,297,358,663,506,0.725771
211,310,374,653,519,0.918919
198,308,366,666,517,0.72973
213,306,372,651,515,0.790735
199,314,371,665,523,0.708824
199,316,373,665,525,0.818345
211,319,382,653,528,0.891196
215,336,398,649,545,0.891196
204,339,395,660,548,0.79971
212,343,403,652,552,0.642821
204,346,401,660,555,0.66644
206,352,407,658,561,0.780386
209,356,412,655,565,0.780187
215,358,417,649,567,0.911407
226,362,426,638,571,0.775902
237,369,438,627,578,0.893092
243,361,435,621,570,0.861687
249,367,443,615,576,0.854293
255,362,442,609,571,0.818653
261,363,447,603,572,0.819621
265,359,446,599,568,0.798788
269,357,447,595,566,0.800676
269,352,443,595,561,0.54994
266,347,437,598,556,0.95932
266,353,442,598,562,0.404551
278,332,433,586,541,0.837301
282,344,444,582,553,0.945926
286,332,438,578,541,0.0227345
285,330,436,579,539,0.0809221
280,337,438,584,546,0.828618
276,342,439,588,551,0.264845
281,335,437,583,544,0.837699
284,330,435,580,539,0.170886
280,339,439,584,548,0.942289
