Robot_Position X	Robot_Position Y	weight
591	392	0.203051
606	392	0.107684
612	409	0.145743
615	410	0.095894
621	410	0.209224
626	402	0.152982
628	411	0.032631
625	416	0.228711
620	414	0.047697
618	414	0.068764
624	412	0.215833
631	412	0.242314
629	417	0.208429
630	421	0.237395
630	425	0.047976
633	429	0.212428
630	432	0.218400
631	430	0.193793
633	433	0.234910
626	421	0.215093
622	415	0.037883
629	415	0.202703
625	419	0.222900
621	421	0.213944
611	423	0.211882
603	425	0.221802
596	432	0.220122
594	423	0.205294
591	420	0.204770
587	417	0.231471
583	411	0.215187
578	413	0.209919
582	411	0.220664
589	411	0.191390
581	404	0.218602
579	406	0.213984
585	397	0.212056
585	395	0.226160
586	395	0.226347
584	398	0.017867
583	399	0.191173
589	400	0.210482
