Robot_Position X	Robot_Position Y	weight
635	492	0.611581
644	504	0.651202
648	508	0.674375
647	493	0.644207
650	501	0.747482
650	501	0.747482
655	503	0.724430
636	493	0.665249
652	510	0.680434
673	467	0.649094
657	511	0.668239
657	511	0.668239
657	511	0.668239
657	494	0.676190
660	495	0.666106
663	509	0.681815
663	509	0.681815
674	472	0.602565
675	469	0.705326
673	466	0.599755
674	464	0.606277
672	462	0.694351
672	462	0.694261
672	462	0.665756
672	462	0.665756
672	462	0.704449
673	461	0.716931
674	457	0.645230
667	472	0.645732
664	481	0.742798
671	496	0.690091
677	521	0.646908
677	521	0.678676
777	504	0.487206
674	464	0.703130
674	457	0.706923
671	475	0.711967
669	467	0.677574
670	476	0.703073
670	476	0.703073
670	476	0.703073
670	476	0.703073
670	476	0.703073
674	464	0.690611
674	464	0.690611
674	464	0.690611
676	472	0.641894
678	477	0.661397
678	477	0.661397
678	477	0.661397
681	450	0.637825
677	481	0.642227
677	412	0.673327
678	442	0.741893
686	478	0.709249
681	421	0.656438
685	424	0.656241
685	424	0.656241
685	424	0.656241
685	424	0.656241
689	484	0.642849
693	529	0.699651
691	505	0.736610
690	496	0.623768
692	495	0.194476
692	495	0.194476
693	387	0.736610
690	409	0.652433
696	379	0.641105
696	379	0.641105
697	504	0.729094
697	377	0.606443
699	508	0.711783
701	387	0.762887
697	558	0.662371
697	558	0.662371
697	558	0.662371
697	558	0.662371
699	490	0.606378
710	506	0.636263
701	480	0.682335
701	480	0.682335
701	480	0.682335
703	477	0.723051
698	485	0.589370
701	498	0.676668
704	498	0.609755
705	496	0.780166
693	484	0.704071
704	494	0.676278
720	492	0.544028
707	486	0.552162
718	272	0.669548
715	281	0.535222
711	279	0.455801
721	491	0.400245
723	489	0.414909
723	493	0.609134
729	479	0.538021
730	499	0.406566
731	509	0.755183
734	512	0.442026
730	514	0.422820
739	504	0.505161
747	509	0.163866
740	503	0.456880
742	498	0.461365
741	507	0.452998
745	508	0.439655
744	511	0.481747
744	508	0.434858
749	494	0.468676
745	495	0.453965
743	505	0.461111
743	510	0.451623
743	514	0.443382
744	504	0.436383
740	516	0.447164
751	512	0.444407
748	507	0.216564
749	508	0.529519
749	516	0.415765
742	509	0.229736
756	510	0.382220
751	510	0.463221
747	511	0.400606
759	516	0.354481
758	499	0.342312
758	500	0.322645
759	494	0.358154
755	507	0.308100
767	501	0.377684
759	512	0.337657
766	489	0.418295
764	491	0.310417
766	506	0.367647
766	500	0.281516
766	504	0.305325
766	492	0.406326
765	494	0.276292
764	502	0.309585
764	502	0.309585
768	493	0.332784
768	493	0.332784
768	493	0.332784
767	513	0.289813
769	519	0.289813
769	483	0.293922
769	483	0.293922
769	483	0.293922
769	483	0.293922
769	483	0.293922
769	483	0.293922
769	483	0.293922
778	503	0.582307
778	503	0.582307
778	503	0.582307
778	503	0.582307
776	488	0.602733
775	508	0.676383
778	501	0.778784
778	502	0.707473
778	502	0.707473
778	502	0.707473
778	502	0.707473
780	506	0.282420
777	499	0.622928
769	503	0.622928
769	503	0.622928
769	503	0.622928
781	508	0.645354
779	494	0.752223
783	504	0.590363
783	484	0.856033
787	503	0.677757
810	508	0.569897
791	505	0.710552
